3010	宋体	1948
3012	自豪	1948
3024	卡拉	1944
3026	应付	1943
3039	飞船	1932
3057	挡	1920
3065	飞行员	1915
3069	香槟	1913
3071	录像	1912
3079	坦白	1909
3088	解开	1902
3098	莉	1893
3135	中情局	1874
3139	当作	1872
3142	淘汰	1870
3159	隐瞒	1856
3160	舞蹈	1856
3163	明早	1854
3169	晓得	1850
3170	烦	1849
3176	天赋	1843
3177	批准	1843
3179	局长	1843
3181	校长	1842
3183	姆	1840
3189	配合	1836
3191	开除	1834
3192	打仗	1830
3205	激情	1819
3212	如同	1811
3213	统治	1811
3216	职责	1810
3218	何不	1808
3222	迪	1807
3241	舰长	1793
3244	玛	1792
3249	礛	1791
3256	隔壁	1786
3268	暴露	1780
3270	纳粹	1776
3289	保姆	1766
3297	冒犯	1761
3303	时机	1757
3304	陪审团	1756
3305	会长	1756
3306	注射	1755
3307	啰	1755
3316	下手	1749
3320	总有一天	1747
3327	古怪	1740
3333	营地	1737
3335	否认	1737
3344	唱片	1731
3348	旅程	1729
3353	出于	1725
3362	度假	1721
3386	妇女	1708
3390	蛤	1703
3429	僵尸	1687
3433	上帝保佑	1685
3454	幸会	1676
3459	但愿	1674
3460	伯爵	1673
--
3501	警卫	1654
3506	不对劲	1653
3529	夺走	1639
3540	联邦调查局	1633
3541	主任	1633
3545	得了吧	1631
3549	厌倦	1628
3556	难以	1622
3576	嫌犯	1616
3579	达成	1615
3584	绅士	1612
---
3585	强迫	1612
3586	祇	1611
3587	访问	1610
3588	房間	1610
3589	只想	1610
3590	面具	1610
3591	口	1609
3592	西蒙	1609
3593	斯科特	1608
3594	医疗	1607
3595	困扰	1607
3596	角落	1606
3597	蛮	1605
3598	做生意	1604
3599	胸部	1604
3600	单位	1604
3601	人群	1604
3602	注定	1603
3603	学院	1603
3604	莉莉	1603
3605	形象	1601
3606	最棒	1601
3607	南方	1600
3608	這件	1598
3609	金钱	1598
3610	法兰克	1597
3611	专门	1597
3612	好莱坞	1596
3613	失控	1594
3614	艘	1593
3615	變成	1593
3616	所知	1593
3617	技巧	1592
3618	性交	1592
3619	深刻	1592
3620	把门	1591
3621	转身	1590
3622	集合	1590
3623	小丑	1589
3624	上升	1589
3625	寻求	1589
3626	解除	1589
3627	一道	1588
3628	称呼	1588
3629	加拿大	1587
3630	爱上	1587
3631	爆发	1587
3632	丽莎	1586
3633	没人能	1584
3634	晚饭	1584
3635	成立	1584
3636	中圆简	1584
3637	准确	1583
3638	逃脱	1583
3639	掌控	1582
3640	四年	1582
3641	落	1581
3642	被困	1580
3643	比起	1579
3644	风暴	1579
3645	燃烧	1579
3646	卑鄙	1579
3647	太大	1579
3648	一员	1579
3649	参观	1578
3650	一副	1578
3651	限制	1577
3652	穿越	1576
3653	闭上	1575
3654	主管	1574
3655	认出	1574
3656	內	1573
3657	萬	1573
3658	梅	1573
3659	製	1572
3660	短信	1572
3661	难受	1571
3662	星	1571
3663	模式	1571
3664	击中	1570
3665	永不	1569
3666	欲望	1568
3667	给予	1566
3668	紧	1566
3669	实际	1565
3670	喽	1565
3671	髮	1565
3672	胖	1564
3673	老爷	1564
3674	问过	1561
3675	没来	1560
3676	出現	1560
3677	桥	1559
3678	抵抗	1559
3679	一笔	1558
3680	且	1556
3681	面临	1556
3682	放进	1555
3683	码头	1555
3684	舰队	1554
3685	夫妻	1554
3686	阶段	1553
3687	明确	1553
3688	太快	1552
3689	价格	1551
3690	信用卡	1551
3691	理智	1551
3692	犹太	1550
3693	一種	1550
3694	杰夫	1550
3695	别无选择	1549
3696	导弹	1548
3697	球员	1548
3698	维尔	1548
3699	保護	1547
3700	干脆	1546
3701	喉咙	1546
3702	赶到	1546
3703	小朋友	1545
3704	维	1545
3705	有意	1544
3706	凯蒂	1544
3707	臉	1544
3708	英文	1543
3709	军官	1543
3710	幸好	1543
3711	资金	1543
3712	你現	1542
3713	我操	1542
3714	谈判	1542
3715	舔	1542
3716	上午	1541
3717	捡	1541
3718	反而	1541
3719	塔克	1541
3720	这辆	1540
3721	哈里	1540
3722	火箭	1540
3723	海岸	1540
3724	可靠	1539
3725	英国人	1539
3726	即便	1538
3727	帅哥	1537
3728	一台	1537
3729	好样	1537
3730	谋杀案	1536
3731	討厭	1536
3732	碎片	1536
3733	至今	1536
3734	打中	1534
3735	黑鬼	1534
3736	赛	1534
3737	打電話	1534
3738	经营	1532
3739	使命	1532
3740	架	1532
3741	另一边	1532
3742	裡	1531
3743	一枪	1531
3744	孙子	1531
3745	鲨鱼	1530
3746	通讯	1530
3747	一夜	1530
3748	富有	1529
3749	调整	1529
3750	进步	1528
3751	可悲	1528
3752	看出	1527
3753	尺	1527
3754	偷偷	1527
3755	宝贝儿	1527
3756	下來	1527
3757	警报	1527
3758	废物	1527
3759	寶貝	1526
3760	吃惊	1526
3761	眼	1525
3762	封锁	1525
3763	例如	1524
3764	稲	1524
3765	路线	1523
3766	诺	1523
3767	案	1522
3768	领袖	1522
3769	足以	1520
3770	行不行	1519
3771	尽可能	1519
3772	薄	1519
3773	老師	1518
3774	社区	1518
3775	進行	1518
3776	砰	1518
3777	嘴里	1518
3778	抓紧	1518
3779	嘴巴	1517
3780	谢谢您	1517
3781	扔掉	1517
3782	轨道	1516
3783	輕	1515
3784	影子	1515
3785	动机	1515
3786	这人	1515
3787	埃	1515
3788	器	1515
3789	弹	1514
3790	前来	1514
3791	爽	1514
3792	身后	1513
3793	死刑	1513
3794	鬆	1513
3795	醫院	1513
3796	糖果	1512
3797	赶上	1512
3798	呐	1512
3799	山上	1511
3800	打扫	1511
3801	萨姆	1510
3802	睡不着	1510
3803	格斯	1510
3804	助手	1510
3805	单	1510
3806	克拉	1510
3807	选举	1509
3808	所在	1509
3809	感动	1509
3810	萨拉	1508
3811	等不及	1506
3812	拿下	1506
3813	哪位	1505
3814	幫忙	1505
3815	摄像机	1505
3816	主题	1505
3817	来过	1504
3818	标志	1504
3819	天上	1504
3820	我求	1504
3821	危險	1501
3822	据	1501
3823	平安	1499
3824	懦夫	1499
3825	玩玩	1499
3826	狦	1498
3827	巴士	1498
3828	暗示	1497
3829	比賽	1497
3830	再有	1497
3831	探长	1497
3832	昨天晚上	1497
3833	油	1497
3834	不妙	1496
3835	走向	1495
3836	图书馆	1495
3837	公爵	1495
3838	成绩	1493
3839	两分钟	1493
3840	一共	1491
3841	做得好	1491
3842	这帮	1491
3843	行事	1491
3844	最初	1491
3845	不成	1490
3846	好痛	1490
3847	下令	1490
3848	造	1489
3849	薪水	1489
3850	查看	1489
3851	读书	1488
3852	可疑	1486
3853	清除	1486
3854	慢慢来	1485
3855	要来	1484
3856	转过	1484
3857	快来	1484
3858	季	1484
3859	霍华德	1484
3860	幽灵	1483
3861	基因	1481
3862	岆	1480
3863	皇上	1480
3864	大厅	1479
3865	福	1479
3866	仓库	1479
3867	贴	1478
3868	大小	1476
3869	升	1475
3870	荣耀	1474
3871	胡扯	1474
3872	今	1474
3873	按摩	1474
3874	气味	1474
3875	君	1473
3876	夜	1472
3877	小男孩	1472
3878	給你	1472
3879	足球	1471
3880	深呼吸	1470
3881	守	1470
3882	行星	1470
3883	怪兽	1469
3884	始终	1469
3885	身为	1468
3886	透露	1468
3887	杯子	1467
3888	罪名	1467
3889	州长	1467
3890	難	1467
3891	阿曼	1466
3892	收回	1465
3893	膝盖	1465
3894	党	1465
3895	猎人	1465
3896	受欢迎	1465
3897	简	1465
3898	姓名	1464
3899	样	1464
3900	异常	1463
3901	談談	1462
3902	埃及	1462
3903	官员	1462
3904	军事	1462
3905	工资	1461
3906	魔	1461
3907	新人	1461
3908	科尔	1460
3909	从小	1460
3910	没能	1460
3911	河	1459
3912	贝克	1458
3913	切断	1458
3914	跪下	1457
3915	蹤	1457
3916	轻易	1457
3917	万美元	1457
3918	扶	1456
3919	这项	1455
3920	伊甸园	1455
3921	一阵子	1455
3922	友好	1454
3923	兒	1454
3924	明年	1454
3925	帝	1454
3926	展开	1453
3927	北方	1453
3928	談	1453
3929	娘	1453
3930	十	1452
3931	突破	1452
3932	狮子	1452
3933	以下	1452
3934	震惊	1450
3935	小姑娘	1450
3936	宽恕	1449
3937	摄像头	1449
