3010	宋体	1948
3012	自豪	1948
3024	卡拉	1944
3026	应付	1943
3039	飞船	1932
3057	挡	1920
3065	飞行员	1915
3069	香槟	1913
3071	录像	1912
3079	坦白	1909
3088	解开	1902
3098	莉	1893
3135	中情局	1874
3139	当作	1872
3142	淘汰	1870
3159	隐瞒	1856
3160	舞蹈	1856
3163	明早	1854
3169	晓得	1850
3170	烦	1849
3176	天赋	1843
3177	批准	1843
3179	局长	1843
3181	校长	1842
3183	姆	1840
3189	配合	1836
3191	开除	1834
3192	打仗	1830
3205	激情	1819
3212	如同	1811
3213	统治	1811
3216	职责	1810
3218	何不	1808
3222	迪	1807
3241	舰长	1793
3244	玛	1792
3249	礛	1791
3256	隔壁	1786
3268	暴露	1780
3270	纳粹	1776
3289	保姆	1766
3297	冒犯	1761
3303	时机	1757
3304	陪审团	1756
3305	会长	1756
3306	注射	1755
3307	啰	1755
3316	下手	1749
3320	总有一天	1747
3327	古怪	1740
3333	营地	1737
3335	否认	1737
3344	唱片	1731
3348	旅程	1729
3353	出于	1725
3362	度假	1721
3386	妇女	1708
3390	蛤	1703
3429	僵尸	1687
3433	上帝保佑	1685
3454	幸会	1676
3459	但愿	1674
3460	伯爵	1673
